"","publication","publisher","date"
"42","Annandale Herald","DnG Media",2022-11-07
"43","Annandale Observer","DnG Media",2022-11-07
"44","Arbroath Herald","National World Publishing Ltd",2022-11-07
"45","Ardrossan & Saltcoats Herald","Newsquest Media Group",2022-11-07
"46","ardrossanherald.com","Newsquest Media Group",2022-11-07
"47","argyllbute24.co.uk","Argyll Media",2022-11-07
"48","Argyllshire Advertiser","Wyvex Media Limited",2022-11-07
"49","argyllshireadvertiser.co.uk","Wyvex Media Limited",2022-11-07
"50","arranbanner.co.uk","Wyvex Media Limited",2022-11-07
"51","Ashbourne News Telegraph","Reach PLC",2022-11-07
"52","ashby.nub.news","Nub News Ltd",2022-11-07
"53","Ashford Herald","Reach PLC",2022-11-07
"54","Asian Image","Newsquest Media Group",2022-11-07
"55","asianimage.co.uk","Newsquest Media Group",2022-11-07
"56","Atherstone & Colehill Herald","Reach PLC",2022-11-07
"57","Australian Camera Magazine","Future PLC",2022-11-07
"58","Australian ProPhoto","Future PLC",2022-11-07
"59","Autocar","Haymarket Media Group",2022-11-07
"60","autocar.co.uk","Haymarket Media Group",2022-11-07
"61","Automotive Management","Bauer Consumer Media Limited",2022-11-07
"62","AV Technology Europe","AV Technology Europe",2022-11-07
"63","axminster.nub.news","Nub News Ltd",2022-11-07
"64","Ayr Advertiser","Newsquest Media Group",2022-11-07
"65","ayradvertiser.com","Newsquest Media Group",2022-11-07
"66","Ayrshire Post","Reach PLC",2022-11-07
"67","Baby Shark","Immediate Media Company Limited",2022-11-07
"68","Ballymena & Antrim Times","National World Publishing Ltd",2022-11-07
"69","ballymenatimes.com","National World Publishing Ltd",2022-11-07
"70","Ballymoney and Moyle Times","National World Publishing Ltd",2022-11-07
"71","ballymoneytimes.co.uk","National World Publishing Ltd",2022-11-07
"72","Banbridge Chronicle","Bann Media Limited",2022-11-07
"73","Banbridge Leader","National World Publishing Ltd",2022-11-07
"74","banbridgeleader.co.uk","National World Publishing Ltd",2022-11-07
"75","Banbury Guardian","National World Publishing Ltd",2022-11-07
"76","banburyguardian.co.uk","National World Publishing Ltd",2022-11-07
"77","Banffshire Advertiser","Highland News & Media Limited",2022-11-07
"78","Banffshire Herald","Highland News & Media Limited",2022-11-07
"79","Banffshire Journal","Highland News & Media Limited",2022-11-07
"80","Bangor Mail","Reach PLC",2022-11-07
"81","Barking & Dagenham Post","Newsquest Media Group",2022-11-07
"82","barkinganddagenhampost.co.uk","Newsquest Media Group",2022-11-07
"83","Barnet & Potters Bar Times","Newsquest Media Group",2022-11-07
"84","Barnoldswick and Earby Times","National World Publishing Ltd",2022-11-07
"85","Barnsley Chronicle","Barnsley Chronicle Limited",2022-11-07
"86","Barrhead News","Newsquest Media Group",2022-11-07
"87","barrheadnews.com","Newsquest Media Group",2022-11-07
"88","Barry & District News","Newsquest Media Group",2022-11-07
"89","barryanddistrictnews.co.uk","Newsquest Media Group",2022-11-07
"90","Basildon Echo","Newsquest Media Group",2022-11-07
"91","basildon.nub.news","Nub News Ltd",2022-11-07
"92","Basingstoke Gazette","Newsquest Media Group",2022-11-07
"93","basingstokegazette.co.uk","Newsquest Media Group",2022-11-07
"94","Bass Guitar","Future PLC",2022-11-07
"95","Bath Chronicle","Reach PLC",2022-11-07
"96","Batley & Birstall News","National World Publishing Ltd",2022-11-07
"97","batleynews.co.uk","National World Publishing Ltd",2022-11-07
"98","Battersea Cats and Dogs' Home: Paws","Immediate Media Company Limited",2022-11-07
"99","battersea.nub.news","Nub News Ltd",2022-11-07
"100","BBC Andy's Amazing Adventures","Immediate Media Company Limited",2022-11-07
"101","BBC Countryfile","Immediate Media Company Limited",2022-11-07
"102","BBC Easy Cook","Immediate Media Company Limited",2022-11-07
"103","BBC Gardeners' World","Immediate Media Company Limited",2022-11-07
"104","BBC Go Jetters!","Immediate Media Company Limited",2022-11-07
"105","BBC Good Food","Immediate Media Company Limited",2022-11-07
"106","BBC History","Immediate Media Company Limited",2022-11-07
"107","BBC History Revealed","Immediate Media Company Limited",2022-11-07
"108","BBC Match of the Day","Immediate Media Company Limited",2022-11-07
"109","BBC Match of the Day Special","Immediate Media Company Limited",2022-11-07
"110","BBC Mr Tumble: Something Special","Immediate Media Company Ltd",2022-11-07
"111","BBC Music","Immediate Media Company Limited",2022-11-07
"112","BBC Science Focus","Immediate Media Company Limited",2022-11-07
"113","BBC Sky At Night","Immediate Media Company Limited",2022-11-07
"114","BBC Top Gear","Immediate Media Company Limited",2022-11-07
"115","BBC Top of the Pops","Immediate Media Company Limited",2022-11-07
"116","BBC Wildlife","Immediate Media Company Limited",2022-11-07
"117","Beano","DC Thomson Group",2022-11-07
"118","beano.com","DC Thomson Group",2022-11-07
"119","Beccles & Bungay Journal","Newsquest Media Group",2022-11-07
"120","becclesandbungayjournal.co.uk","Newsquest Media Group",2022-11-07
"121","Bedfordshire Times & Citizen","National World Publishing Ltd",2022-11-07
"122","bedfordshirelive.co.uk","Reach PLC",2022-11-07
"123","bedfordtoday.co.uk","National World Publishing Ltd",2022-11-07
"124","belfastlive.co.uk","Reach PLC",2022-11-07
"125","belfasttelegraph.co.uk","MEDIAHUIS UK",2022-11-07
"126","Bella","H. Bauer Publishing",2022-11-07
"127","bellamagazine.co.uk","H. Bauer Publishing",2022-11-07
"128","Bellshill Speaker","National World Publishing Ltd",2022-11-07
"129","Belper News","National World Publishing Ltd",2022-11-07
"130","belpernews.co.uk","National World Publishing Ltd",2022-11-07
"131","Berwick Advertiser","National World Publishing Ltd",2022-11-07
"132","berwick-advertiser.co.uk","National World Publishing Ltd",2022-11-07
"133","Berwickshire News","National World Publishing Ltd",2022-11-07
"134","berwickshirenews.co.uk","National World Publishing Ltd",2022-11-07
"135","Best","The National Magazine Company Ltd/Hearst UK",2022-11-07
"136","Bexhill and Battle Observer","National World Publishing Ltd",2022-11-07
"137","Bicester Advertiser","Newsquest Media Group",2022-11-07
"138","Bicester Review","National World Publishing Ltd",2022-11-07
"139","bicesteradvertiser.net","Newsquest Media Group",2022-11-07
"140","Biddulph Chronicle","Congleton Ltd",2022-11-07
"141","biddulph.nub.news","Nub News Ltd",2022-11-07
"142","Biggleswade Chronicle","National World Publishing Ltd",2022-11-07
"143","biggleswadetoday.co.uk","National World Publishing Ltd",2022-11-07
"144","Bike","H. Bauer Publishing",2022-11-07
"145","bikemagazine.co.uk","H. Bauer Publishing",2022-11-07
"146","bikeperfect.com","Future PLC",2022-11-07
"147","Bird Watching","H. Bauer Publishing",2022-11-07
"148","birdwatching.co.uk","H. Bauer Publishing",2022-11-07
"149","birkenhead.news","Birkenhead News",2022-11-07
"150","Birmingham Mail","Reach PLC",2022-11-07
"151","Birmingham Post","Reach PLC",2022-11-07
"152","birminghammail.co.uk","Reach PLC",2022-11-07
"153","birminghampost.co.uk","Reach PLC",2022-11-07
"154","birminghamupdates.com","Updates Media Limited",2022-11-07
"155","Bishop's Stortford Independent","Iliffe Media Group Ltd",2022-11-07
"156","bishopsstortfordindependent.co.uk","Iliffe Media Group Ltd",2022-11-07
"157","Black Country Bugle Annual","Reach PLC",2022-11-07
"158","Black Country Bugle Sports Annual","Reach PLC",2022-11-07
"159","Blackmore Vale Magazine","Reach PLC",2022-11-07
"160","Blackpool Gazette","National World Publishing Ltd",2022-11-07
"161","blackpoolgazette.co.uk","National World Publishing Ltd",2022-11-07
"162","Blairgowrie Advertiser","Reach PLC",2022-11-07
"163","blogpreston.co.uk","Blog Preston C.I.C",2022-11-07
"164","Bluey","Immediate Media Company Ltd",2022-11-07
"165","Bodmin Voice","Tindle Newspapers Limited",2022-11-07
"166","bodyshop","Plenham Ltd",2022-11-07
"167","Bognor Regis Gazette","National World Publishing Ltd",2022-11-07
"168","Bognor Regis Observer","National World Publishing Ltd",2022-11-07
"169","Border Counties Advertizer","Newsquest Media Group",2022-11-07
"170","Border Telegraph","Newsquest Media Group",2022-11-07
"171","bordertelegraph.com","Newsquest Media Group",2022-11-07
"172","Bordon Herald","Tindle Newspapers Limited",2022-11-07
"173","bordonherald.com","Tindle Newspapers Limited",2022-11-07
"174","Borehamwood & Elstree  Times","Newsquest Media Group",2022-11-07
"175","borehamwoodtimes.co.uk","Newsquest Media Group",2022-11-07
"176","Boston Standard","National World Publishing Ltd",2022-11-07
"177","Boston Target","Reach PLC",2022-11-07
"178","bostonstandard.co.uk","National World Publishing Ltd",2022-11-07
"179","Bourbon","Paragraph Publishing Ltd",2022-11-07
"180","Bourne Local","Iliffe Media Group Ltd",2022-11-07
"181","bournelocal.co.uk","Iliffe Media Group Ltd",2022-11-07
"182","bournemouthecho.co.uk","Newsquest Media Group",2022-11-07
"183","Bow International","Future PLC",2022-11-07
"184","bow-international.com","Future PLC",2022-11-07
"185","Brackley and Towcester Advertiser","National World Publishing Ltd",2022-11-07
"186","Bracknell News","Newsquest Media Group",2022-11-07
"187","bracknellnews.co.uk","Newsquest Media Group",2022-11-07
"188","Braintree & Witham Times","Newsquest Media Group",2022-11-07
"189","braintreeandwithamtimes.co.uk","Newsquest Media Group",2022-11-07
"190","Brechin Advertiser","National World Publishing Ltd",2022-11-07
"191","brechinadvertiser.co.uk","National World Publishing Ltd",2022-11-07
"192","Brecon & Radnor Express","Tindle Newspapers Limited",2022-11-07
"193","brecon-radnor.co.uk","Tindle Newspapers Limited",2022-11-07
"194","Brent & Kilburn Times","Newsquest Media Group",2022-11-07
"195","brentford.nub.news","Nub News Ltd",2022-11-07
"196","Brentwood Gazette","Reach PLC",2022-11-07
"197","Bridgnorth Journal","MNA",2022-11-07
"198","Bridgwater Mercury","Newsquest Media Group",2022-11-07
"199","bridgwatermercury.co.uk","Newsquest Media Group",2022-11-07
"200","Bridlington Free Press","National World Publishing Ltd",2022-11-07
"201","bridlingtonfreepress.co.uk","National World Publishing Ltd",2022-11-07
"202","Bridport & Lyme Regis News","Newsquest Media Group",2022-11-07
"203","bridport.nub.news","Nub News Ltd",2022-11-07
"204","bridportnews.co.uk","Newsquest Media Group",2022-11-07
"205","Brighouse Echo","National World Publishing Ltd",2022-11-07
"206","brighouseecho.co.uk","National World Publishing Ltd",2022-11-07
"207","Brighton & Hove Independent","National World Publishing Ltd",2022-11-07
"208","brightonandhoveindependent.co.uk","National World Publishing Ltd",2022-11-07
"209","Bristol Post","Reach PLC",2022-11-07
"210","bristolpost.co.uk","Reach PLC",2022-11-07
"211","bristolworld.com","National World Publishing Ltd",2022-11-07
"212","Bromley News Shopper","Newsquest Media Group",2022-11-07
"213","Bromsgrove Advertiser","Newsquest Media Group",2022-11-07
"214","bromsgroveadvertiser.co.uk","Newsquest Media Group",2022-11-07
"215","Buchan Observer","National World Publishing Ltd",2022-11-07
"216","buchanobserver.co.uk","National World Publishing Ltd",2022-11-07
"217","Buckingham & Winslow Advertiser","National World Publishing Ltd",2022-11-07
"218","Buckinghamshire & Berkshire Living","Newsquest Media Group",2022-11-07
"219","buckinghamshirelive.com","Reach PLC",2022-11-07
"220","buckinghamtoday.co.uk","National World Publishing Ltd",2022-11-07
"221","Bucks Free Press","Newsquest Media Group",2022-11-07
"222","Bucks Herald","National World Publishing Ltd",2022-11-07
"223","bucksfreepress.co.uk","Newsquest Media Group",2022-11-07
"224","bucksherald.co.uk","National World Publishing Ltd",2022-11-07
"225","Bude & Stratton Post","Tindle Newspapers Limited",2022-11-07
"226","bude-today.co.uk","Tindle Newspapers Limited",2022-11-07
"227","Built Magazine","H. Bauer Publishing",2022-11-07
"228","builtmag.co.uk","H. Bauer Publishing",2022-11-07
"229","Bunkered","DC Thomson Group",2022-11-07
"230","bunkered.co.uk","DC Thomson Group",2022-11-07
"231","Burnham & Highbridge Weekly News","Newsquest Media Group",2022-11-07
"232","burnhamanddengie.nub.news","Nub News Ltd",2022-11-07
"233","burnhamandhighbridgeweeklynews.co.uk","Newsquest Media Group",2022-11-07
"234","Burnley Express","National World Publishing Ltd",2022-11-07
"235","burnleyexpress.net","National World Publishing Ltd",2022-11-07
"236","Burry Port & Pembrey Star","Reach PLC",2022-11-07
"237","Burton Mail","Reach PLC",2022-11-07
"238","Bury Free Press","Iliffe Media Group Ltd",2022-11-07
"239","Bury Times","Newsquest Media Group",2022-11-07
"240","buryfreepress.co.uk","Iliffe Media Group Ltd",2022-11-07
"241","burytimes.co.uk","Newsquest Media Group",2022-11-07
"242","Business Brief","Guernsey Press Company",2022-11-07
"243","Business Life","Cedar Communications Ltd",2022-11-07
"244","business-live.co.uk","Reach PLC",2022-11-07
"245","buteman.co.uk","National World Publishing Ltd",2022-11-07
"246","Butterfly Conservation","Immediate Media Company Limited",2022-11-07
"247","Butterfly Conservation Annual Report","Immediate Media Company Limited",2022-11-07
"248","Buxton Advertiser","National World Publishing Ltd",2022-11-07
"249","buxtonadvertiser.co.uk","National World Publishing Ltd",2022-11-07
"250","Bygones","Reach PLC",2022-11-07
"251","Caernarfon & Denbigh Herald","Reach PLC",2022-11-07
"252","Caernarfon & Denbigh Herald","Reach PLC",2022-11-07
"253","Caerphilly Observer","Caerphilly Media Limited",2022-11-07
"254","Caithness Courier","Highland News & Media Limited",2022-11-07
"255","Camborne & Redruth Voice","Tindle Newspapers Limited",2022-11-07
"256","Cambrian News","Tindle Newspapers Limited",2022-11-07
"257","Cambrian News","Tindle Newspapers Limited",2022-11-07
"258","Cambrian News","Tindle Newspapers Limited",2022-11-07
"259","Cambrian News","Tindle Newspapers Limited",2022-11-07
"260","cambrian-news.co.uk","Tindle Newspapers Limited",2022-11-07
"261","Cambridge Independent","Iliffe Media Group Ltd",2022-11-07
"262","Cambridge News","Reach PLC",2022-11-07
"263","cambridgeindependent.co.uk","Iliffe Media Group Ltd",2022-11-07
"264","cambridge-news.co.uk","Reach PLC",2022-11-07
"265","Cambs Times","Newsquest Media Group",2022-11-07
"266","cambstimes.co.uk","Newsquest Media Group",2022-11-07
"267","camdencitizen.co.uk","Citizen News & Media Limited",2022-11-07
"268","Campaign","Haymarket Media Group",2022-11-07
"269","campaignlive.co.uk","Haymarket Media Group",2022-11-07
"270","Campbeltown Courier","Wyvex Media Limited",2022-11-07
"271","campbeltowncourier.co.uk","Wyvex Media Limited",2022-11-07
"272","Candidegardening.com","Candide",2022-11-07
"273","Cannock Chronicle Week","MNA",2022-11-07
"274","Canvey & Benfleet Times","Tindle Newspapers Limited",2022-11-07
"275","Canvey Echo","Newsquest Media Group",2022-11-07
"276","Car & Accessory Trader","Haymarket Media Group",2022-11-07
"277","Car","H. Bauer Publishing",2022-11-07
"278","Carlisle Living","Newsquest Media Group",2022-11-07
"279","carlisleliving.co.uk","Newsquest Media Group",2022-11-07
"280","Carluke Gazette","National World Publishing Ltd",2022-11-07
"281","carlukegazette.co.uk","National World Publishing Ltd",2022-11-07
"282","carmagazine.co.uk","H. Bauer Publishing",2022-11-07
"283","Carmarthen Journal","Reach PLC",2022-11-07
"284","carmarthenshireheald.com","UK Ltd",2022-11-07
"285","Carnoustie Guide and Gazette","National World Publishing Ltd",2022-11-07
"286","Carrick Gazette","National World Publishing Ltd",2022-11-07
"287","Carrick Times ","National World Publishing Ltd",2022-11-07
"288","carrickfergustimes.co.uk","National World Publishing Ltd",2022-11-07
"289","carricktoday.co.uk","National World Publishing Ltd",2022-11-07
"290","Cask & Still","Wyvex Media Limited",2022-11-07
"291","Castle Point Echo","Newsquest Media Group",2022-11-07
"292","catmag.co.uk","Haymarket Media Group",2022-11-07
"293","Cbeebies","Immediate Media Company Limited",2022-11-07
"294","Cbeebies Art","Immediate Media Company Limited",2022-11-07
"295","Cbeebies Specials","Immediate Media Company Limited",2022-11-07
"296","CBeebies Sticker Art","Immediate Media Company Limited",2022-11-07
"297","Celebrity Secrets","Hurst Media Company Ltd",2022-11-07
"298","celebsnow.co.uk","Future PLC",2022-11-07
"299","Celonis","Cedar Communications Ltd",2022-11-07
"300","Central Fife Times & Advertiser","Newsquest Media Group",2022-11-07
"301","Central Somerset Gazette","Reach PLC",2022-11-07
"302","centralfifetimes.com","Newsquest Media Group",2022-11-07
"303","ceredigionherald.com","UK Ltd",2022-11-07
"304","chad.co.uk","National World Publishing Ltd",2022-11-07
"305","Chard & Ilminster News","Newsquest Media Group",2022-11-07
"306","chardandilminsternews.co.uk","Newsquest Media Group",2022-11-07
"307","Chase Magazine","Regional Media Ltd",2022-11-07
"308","Chat","Future PLC",2022-11-07
"309","Chat It's Fate","Future PLC",2022-11-07
"310","Chat Monthly","Future PLC",2022-11-07
"311","Checklist","Hurst Media Company Ltd",2022-11-07
"312","Cheddar Valley Gazette","Reach PLC",2022-11-07
"313","Chelmsford Weekly News","Newsquest Media Group",2022-11-07
"314","chelmsfordweeklynews.co.uk","Newsquest Media Group",2022-11-07
"315","Chepstow Beacon","Tindle Newspapers Limited",2022-11-07
"316","chepstowbeacon.co.uk","Tindle Newspapers Limited",2022-11-07
"317","Cheshire Life","Newsquest Media Group",2022-11-07
"318","Cheshire Living","Newsquest Media Group",2022-11-07
"319","cheshire-live.co.uk","Reach PLC",2022-11-07
"320","Chester Chronicle","Reach PLC",2022-11-07
"321","Chester Chronicle","Reach PLC",2022-11-07
"322","Chester Chronicle","Reach PLC",2022-11-07
"323","Chester Chronicle","Reach PLC",2022-11-07
"324","Chester-le-Street Advertiser","Newsquest Media Group",2022-11-07
"325","chesterstandard.co.uk","Newsquest Media Group",2022-11-07
"326","Chew Valley Gazette","Tindle Newspapers Limited",2022-11-07
"327","chewvalleygazette.co.uk","Tindle Newspapers Limited",2022-11-07
"328","Chichester Observer","National World Publishing Ltd",2022-11-07
"329","Chingford Guardian","Newsquest Media Group",2022-11-07
"330","Chorley Guardian","National World Publishing Ltd",2022-11-07
"331","chorley-guardian.co.uk","National World Publishing Ltd",2022-11-07
"332","Chronicle & Infomer","Reach PLC",2022-11-07
"333","chroniclelive.co.uk","Reach PLC",2022-11-07
"334","CILEX Journal","CILEX Journal",2022-11-07
"335","cinemablend.com","Future PLC",2022-11-07
"336","citmagazine.com","Haymarket Media Group",2022-11-07
"337","City Guide","Reach PLC",2022-11-07
"338","Clacton Gazette","Newsquest Media Group",2022-11-07
"339","clactonandfrintongazette.co.uk","Newsquest Media Group",2022-11-07
"340","clapham.nub.news","Nub News Ltd",2022-11-07
"341","Classic and Sports Car","Haymarket Media Group",2022-11-07
"342","Classic Bike","H. Bauer Publishing",2022-11-07
"343","Classic Car Weekly","H. Bauer Publishing",2022-11-07
"344","Classic Cars","H. Bauer Publishing",2022-11-07
"345","Classic Rock","Future PLC",2022-11-07
"346","classicandsportscar.com","Haymarket Media Group",2022-11-07
"347","classicbike.co.uk","H. Bauer Publishing",2022-11-07
"348","ClassicCarsforsale.co.uk","H. Bauer Publishing",2022-11-07
"349","classiccarsmagazine.co.uk","H. Bauer Publishing",2022-11-07
"350","classiccarweekly.co.uk","H. Bauer Publishing",2022-11-07
"351","Clay Shooting","Future PLC",2022-11-07
"352","clay-shooting.com","Future PLC",2022-11-07
"353","Clitheroe Advertiser and Times","National World Publishing Ltd",2022-11-07
"354","clitheroeadvertiser.co.uk","National World Publishing Ltd",2022-11-07
"355","Closer","H. Bauer Publishing",2022-11-07
"356","closeronline.co.uk","H. Bauer Publishing",2022-11-07
"357","Clydebank Post","Newsquest Media Group",2022-11-07
"358","clydebankpost.co.uk","Newsquest Media Group",2022-11-07
"359","Coach","Future PLC",2022-11-07
"360","coachmag.co.uk","Future PLC",2022-11-07
"361","coalville.nub.news","Nub News Ltd",2022-11-07
"362","Coleraine & Ballymoney Times","National World Publishing Ltd",2022-11-07
"363","colerainetimes.co.uk","National World Publishing Ltd",2022-11-07
"364","Colne Times","National World Publishing Ltd",2022-11-07
"365","Commando Action & Adventure","DC Thomson Group",2022-11-07
"366","Commando Gold","DC Thomson Group",2022-11-07
"367","Commando Home of Heroes","DC Thomson Group",2022-11-07
"368","Commando Silver","DC Thomson Group",2022-11-07
"369","commandocomics.com","DC Thomson Group",2022-11-07
"370","Computer Active","Future PLC",2022-11-07
"371","Computer Arts","Future PLC",2022-11-07
"372","Computer Music","Future PLC",2022-11-07
"373","Condé Nast Johansens","Condé Nast Publications Ltd",2022-11-07
"374","Condé Nast Traveller","Condé Nast Publications Ltd",2022-11-07
"375","Conference & Incentive Travel","Haymarket Media Group",2022-11-07
"376","Congleton Chronicle","Congleton Ltd",2022-11-07
"377","congleton.nub.news","Nub News Ltd",2022-11-07
"378","Congress Times","Veterinary Business Development Ltd",2022-11-07
"379","Consett & Stanley Advertiser","Newsquest Media Group",2022-11-07
"380","Corby Telegraph","National World Publishing Ltd",2022-11-07
"381","Corgi Cymru","Newsquest Media Group",2022-11-07
"382","Cornish & Devon Post","Tindle Newspapers Limited",2022-11-07
"383","Cornish Guardian","Reach PLC",2022-11-07
"384","Cornish Times","Tindle Newspapers Limited",2022-11-07
"385","cornish-times.co.uk","Tindle Newspapers Limited",2022-11-07
"386","Cornwall Home & Garden","Newsquest Media Group",2022-11-07
"387","Cornwall Life","Newsquest Media Group",2022-11-07
"388","cornwalllive.com","Reach PLC",2022-11-07
"389","Cosmopolitan","The National Magazine Company Ltd/Hearst UK",2022-11-07
"390","Cotswold Journal","Newsquest Media Group",2022-11-07
"391","Cotswold Life","Newsquest Media Group",2022-11-07
"392","Cotswold Living","Newsquest Media Group",2022-11-07
"393","cotswoldjournal.co.uk","Newsquest Media Group",2022-11-07
"394","Counter Terror Business","Psi Group Ltd",2022-11-07
"395","Country Homes & Interiors","Future PLC",2022-11-07
"396","Country Life","Future PLC",2022-11-07
"397","Country Living","The National Magazine Company Ltd/Hearst UK",2022-11-07
"398","Country Walking","H. Bauer Publishing",2022-11-07
"399","countrylife.co.uk","Future PLC",2022-11-07
"400","County Times","Newsquest Media Group",2022-11-07
"401","countypress.co.uk","Newsquest Media Group",2022-11-07
"402","countytimes.co.uk","Newsquest Media Group",2022-11-07
"403","Coventry Telegraph","Reach PLC",2022-11-07
"404","coventrytelegraph.net","Reach PLC",2022-11-07
"405","coventryupdates.com","Updates Media Limited",2022-11-07
"406","cowbridge.nub.news","Nub News Ltd",2022-11-07
"407","Craft Club","DC Thomson Group",2022-11-07
"408","Crafts Beautiful","DC Thomson Group",2022-11-07
"409","Craven Herald & Pioneer","Newsquest Media Group",2022-11-07
"410","cravenherald.co.uk","Newsquest Media Group",2022-11-07
"411","Crawley Observer","National World Publishing Ltd",2022-11-07
"412","creativebloq.com","Future PLC",2022-11-07
"413","creativeboom.com","Creative Boom Ltd",2022-11-07
"414","Crediton Country Courier","Tindle Newspapers Limited",2022-11-07
"415","creditoncourier.co.uk","Tindle Newspapers Limited",2022-11-07
"416","Crewe Chronicle","Reach PLC",2022-11-07
"417","crewe.nub.news","Nub News Ltd",2022-11-07
"418","Crime Monthly","H. Bauer Publishing",2022-11-07
"419","Cross Stitch Favourites","Immediate Media Company Limited",2022-11-07
"420","Croydon Advertiser","Reach PLC",2022-11-07
"421","Croydon Guardian","Newsquest Media Group",2022-11-07
"422","CSMA: Boundless","Immediate Media Company Limited",2022-11-07
"423","Cumberland & Westmorland Herald","Barrnon Media Limited",2022-11-07
"424","cumberlandnews.co.uk","Newsquest Media Group",2022-11-07
"425","Cumbernauld News","National World Publishing Ltd",2022-11-07
"426","cumbernauld-news.co.uk National World Publishing Ltd)","cumbernauld-news.co.uk National World Publishing Ltd",2022-11-07
"427","Cumbria Life","Newsquest Media Group",2022-11-07
"428","cumbriacrack.com","Barrnon Media Limited",2022-11-07
"429","cumbrialife.co.uk","Newsquest Media Group",2022-11-07
"430","cumbrialive.co.uk","Newsquest Media Group",2022-11-07
"431","Cumnock Chronicle","Newsquest Media Group",2022-11-07
"432","cumnockchronicle.com","Newsquest Media Group",2022-11-07
"433","Cycling Plus","Immediate Media Company Limited",2022-11-07
"434","Cycling Weekly","Future PLC",2022-11-07
"435","cyclingnews.com","Future PLC",2022-11-07
"436","cyclingplus.com","Immediate Media Company Limited",2022-11-07
"437","cyclingweekly.com","Future PLC",2022-11-07
"438","Cynon Valley Leader","Reach PLC",2022-11-07
"439","Daily Echo","Newsquest Media Group",2022-11-07
"440","Daily Express","Reach PLC",2022-11-07
"441","Daily Gazette","Newsquest Media Group",2022-11-07
"442","Daily Mail","Associated Newspapers Limited",2022-11-07
"443","Daily Mirror","Reach PLC",2022-11-07
"444","Daily Mirror Northern Ireland","Reach PLC",2022-11-07
"445","Daily Post","Reach PLC",2022-11-07
"446","Daily Record","Reach PLC",2022-11-07
"447","Daily Star","Reach PLC",2022-11-07
"448","Daily Star Sunday","Reach PLC",2022-11-07
"449","dailyecho.co.uk","Newsquest Media Group",2022-11-07
"450","dailypost.co.uk","Reach PLC",2022-11-07
"451","dailyrecord.co.uk","Reach PLC",2022-11-07
"452","dailystar.co.uk","Reach PLC",2022-11-07
"453","Darlington & Stockton Times","Newsquest Media Group",2022-11-07
"454","darlingtonandstocktontimes.co.uk","Newsquest Media Group",2022-11-07
"455","Dartmouth Chronicle","Tindle Newspapers Limited",2022-11-07
"456","dartmouth-today.co.uk","Tindle Newspapers Limited",2022-11-07
"457","Daventry Express","National World Publishing Ltd",2022-11-07
"458","daventrytoday.co.uk","National World Publishing Ltd",2022-11-07
"459","Dawlish Gazette","Tindle Newspapers Limited",2022-11-07
"460","dawlish.nub.news","Nub News Ltd",2022-11-07
"461","dawlish-today.co.uk","Tindle Newspapers Limited",2022-11-07
"462","Decanter","Future PLC",2022-11-07
"463","decanter.com","Future PLC",2022-11-07
